Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Administração Financeira e Orçamentária,,0,"AFO, Direito Financeiro e Contabilidade Pública",13097,13097
Administração Financeira e Orçamentária,01,1,Introdução à Administração Financeira e Orçamentária,167,167
Administração Financeira e Orçamentária,01.01,2,A Atividade Financeira do Estado,21,21
Administração Financeira e Orçamentária,01.02,2,Normas Gerais de Direito Financeiro,89,89
Administração Financeira e Orçamentária,01.03,2,Funções de Governo,57,57
Administração Financeira e Orçamentária,02,1,Orçamento Público,2643,2643
Administração Financeira e Orçamentária,02.01,2,Conceito e Natureza Jurídica do Orçamento Público,78,78
Administração Financeira e Orçamentária,02.02,2,Classificações do Orçamento Público,268,268
Administração Financeira e Orçamentária,02.02.01,3,"Tipos de Orçamento Público (Executivo, Legislativo, Misto)",6,6
Administração Financeira e Orçamentária,02.02.02,3,"Aspectos/Dimensões do Orçamento Público (Jurídico, Político, Social, etc)",5,5
Administração Financeira e Orçamentária,02.02.03,3,"Técnicas/Espécies Orçamentárias (Orçamento Programa, Tradicional, Participativo, Base Zero, etc)",257,257
Administração Financeira e Orçamentária,02.03,2,Histórico do Orçamento,33,33
Administração Financeira e Orçamentária,02.04,2,Princípios Orçamentários,743,743
Administração Financeira e Orçamentária,02.05,2,"Instrumentos Orçamentários na CF 88 (PPA, LDO e LOA)",1521,1521
Administração Financeira e Orçamentária,02.05.01,3,PPA - Plano Plurianual (CF/1988 e Lei nº 4.320/1964),409,409
Administração Financeira e Orçamentária,02.05.02,3,LDO - Lei de Diretrizes Orçamentárias (CF/1988 e Lei nº 4.320/1964),292,292
Administração Financeira e Orçamentária,02.05.03,3,LOA - Lei Orçamentária Anual (CF/1988 e Lei nº 4.320/1964),524,524
Administração Financeira e Orçamentária,02.05.04,3,"Tópicos Mesclados de PPA, LDO e LOA",150,150
Administração Financeira e Orçamentária,02.05.05,3,Vedações Constitucionais em Matéria Orçamentária (Art. 167 da CF/1988),146,146
Administração Financeira e Orçamentária,03,1,Fundos Especiais,19,19
Administração Financeira e Orçamentária,04,1,Ciclo Orçamentário,346,346
Administração Financeira e Orçamentária,05,1,Créditos Adicionais,539,539
Administração Financeira e Orçamentária,06,1,Receita Pública (AFO e CPU),1141,1141
Administração Financeira e Orçamentária,06.01,2,"Conceitos Gerais (Orçamentária e Extraorçamentária, Afetação Patrimonial, Regularidade, Coercitividade)",274,274
Administração Financeira e Orçamentária,06.02,2,Classificação por Natureza da Receita,456,456
Administração Financeira e Orçamentária,06.03,2,Classificação da Receita por Esfera Orçamentária,10,10
Administração Financeira e Orçamentária,06.04,2,Classificação por Fonte / Destinação de Recursos,63,63
Administração Financeira e Orçamentária,06.05,2,Classificação da Receita por Identificador de Resultado Primário,20,20
Administração Financeira e Orçamentária,06.06,2,Estágios da Receita Pública,179,179
Administração Financeira e Orçamentária,06.07,2,Dívida Ativa,139,139
Administração Financeira e Orçamentária,07,1,Despesa Pública (AFO e CPU),1920,1920
Administração Financeira e Orçamentária,07.01,2,Conceitos Gerais sobre Despesa Pública,57,57
Administração Financeira e Orçamentária,07.02,2,Classificação da Despesa Orçamentária,698,698
Administração Financeira e Orçamentária,07.03,2,Estágios da Despesa Pública,401,401
Administração Financeira e Orçamentária,07.04,2,Dívida Pública (AFO e CPU),391,391
Administração Financeira e Orçamentária,07.04.01,3,Dívida Fundada e Dívida Flutuante - Conceitos Gerais,85,85
Administração Financeira e Orçamentária,07.04.02,3,Restos a Pagar (RAP),306,306
Administração Financeira e Orçamentária,07.05,2,Despesas de Exercícios Anteriores (DEA),141,141
Administração Financeira e Orçamentária,07.06,2,Suprimento de Fundos,232,232
Administração Financeira e Orçamentária,07.06.01,3,Regime de Adiantamento,208,208
Administração Financeira e Orçamentária,07.06.02,3,Cartão de Pagamento do Governo Federal (CPGF),24,24
Administração Financeira e Orçamentária,08,1,Programação e Descentralização Orçamentária e Financeira,225,225
Administração Financeira e Orçamentária,09,1,Lei Complementar nº 159/2017 (Regime de Recuperação Fiscal),6,6
Administração Financeira e Orçamentária,10,1,Sistemas Estruturantes em Matéria Orçamentária e Financeira,398,398
Administração Financeira e Orçamentária,10.01,2,SIAFI,338,338
Administração Financeira e Orçamentária,10.02,2,SIAFEM,12,12
Administração Financeira e Orçamentária,10.03,2,"SIOP, SIDOR",39,39
Administração Financeira e Orçamentária,10.04,2,SIAFIC (Decreto nº 10.540/2020),9,9
Administração Financeira e Orçamentária,11,1,Conta Única e GRU,137,137
Administração Financeira e Orçamentária,12,1,Lei nº 10.180/2001,156,156
Administração Financeira e Orçamentária,12.01,2,Sistema de Planejamento e de Orçamento Federal (Lei 10.180/2001),76,76
Administração Financeira e Orçamentária,12.02,2,Sistema de Administração Financeira Federal (Lei 10.180/2001),12,12
Administração Financeira e Orçamentária,12.03,2,Sistema de Contabilidade Federal (Lei 10.180/2001 e Decreto 6.976/2009),51,51
Administração Financeira e Orçamentária,12.04,2,Sistema de Controle Interno do Poder Executivo Federal (Lei 10.180/2001),17,17
Administração Financeira e Orçamentária,13,1,Introdução à Contabilidade Aplicada ao Setor Público,468,468
Administração Financeira e Orçamentária,13.01,2,"Conceitos, Objeto, Objetivos e Campo de Aplicação (Estrutura Conceitual - Prefácio e caps. 1 a 4)",212,212
Administração Financeira e Orçamentária,13.02,2,Regimes Orçamentário e Patrimonial e Exercício Financeiro,184,184
Administração Financeira e Orçamentária,13.03,2,Princípios da Contabilidade Pública,72,72
Administração Financeira e Orçamentária,14,1,Aspectos Patrimoniais da Contabilidade Pública,687,687
Administração Financeira e Orçamentária,14.01,2,Patrimônio Público,71,71
Administração Financeira e Orçamentária,14.02,2,Bens Públicos,17,17
Administração Financeira e Orçamentária,14.03,2,Inventário. Material Permanente e de Consumo.,39,39
Administração Financeira e Orçamentária,14.04,2,Variações Patrimoniais,167,167
Administração Financeira e Orçamentária,14.05,2,Avaliação de Elementos Patrimoniais Conforme o art. 106 da Lei nº 4.320/1964,28,28
Administração Financeira e Orçamentária,14.06,2,Bases de Mensuração de Ativos e Passivos (MCASP e NBC TSP EC),42,42
Administração Financeira e Orçamentária,14.07,2,Disponibilidades (MCASP e NBC TSP 12),1,1
Administração Financeira e Orçamentária,14.08,2,Créditos e Obrigações (MCASP),3,3
Administração Financeira e Orçamentária,14.09,2,Estoques (MCASP e NBC TSP 04),16,16
Administração Financeira e Orçamentária,14.10,2,"Investimentos Permanentes, em Coligada e Empreendimento Controlado em Conjunto (MCASP e NBC TSP 18)",4,4
Administração Financeira e Orçamentária,14.11,2,Ativo Imobilizado (MCASP e NBC TSP 07),48,48
Administração Financeira e Orçamentária,14.12,2,Ativo Intangível (MCASP e NBC TSP 08),37,37
Administração Financeira e Orçamentária,14.13,2,"Redução ao Valor Recuperável (MCASP, NBC TSP 09 e 10)",37,37
Administração Financeira e Orçamentária,14.14,2,"Depreciação, Amortização e Exaustão (NBC TSP 07, MCASP, etc.)",80,80
Administração Financeira e Orçamentária,14.15,2,"Provisões, Passivos e Ativos Contingentes (MCASP e NBC TSP 03)",76,76
Administração Financeira e Orçamentária,14.16,2,Receita de Transação sem Contraprestação (MCASP e NBC TSP 01),13,13
Administração Financeira e Orçamentária,14.17,2,Receita de Transação com Contraprestação (MCASP e NBC TSP 02),1,1
Administração Financeira e Orçamentária,14.18,2,Propriedade para Investimento (MCASP e NBC TSP 06),1,1
Administração Financeira e Orçamentária,14.19,2,Contratos de Concessão de Serviços Públicos (MCASP e NBC TSP 05),2,2
Administração Financeira e Orçamentária,14.20,2,Ativo Biológico e Produto Agrícola (MCASP e NBC TSP 26),1,1
Administração Financeira e Orçamentária,14.21,2,"Políticas Contábeis, Mudança de Estimativa e Retificação de Erro (MCASP e NBC TSP 23)",3,3
