Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Administração Geral e Pública,,0,Administração Geral e Pública,14474,14474
Administração Geral e Pública,01,1,Introdução à Administração,331,331
Administração Geral e Pública,01.01,2,Organização (Introdução à Administração),69,69
Administração Geral e Pública,01.02,2,Administração,14,14
Administração Geral e Pública,01.03,2,Administrador,38,38
Administração Geral e Pública,01.04,2,Processo Organizacional e Funções Administrativas,142,142
Administração Geral e Pública,01.05,2,"Eficiência, Eficácia e Efetividade",68,68
Administração Geral e Pública,02,1,Teorias Administrativas,698,698
Administração Geral e Pública,02.01,2,"Introdução (Conceitos, Evolução Histórica, Princípios, Abordagens Prescritivas e Normativas)",12,12
Administração Geral e Pública,02.02,2,Abordagem Clássica da Administração,138,138
Administração Geral e Pública,02.02.01,3,Aspectos Gerais e Origens,1,1
Administração Geral e Pública,02.02.02,3,Escola da Administração Científica,86,86
Administração Geral e Pública,02.02.03,3,Escola da Teoria Clássica,51,51
Administração Geral e Pública,02.03,2,Teoria das Relações Humanas (Abordagem Humanística da Administração),52,52
Administração Geral e Pública,02.04,2,Abordagem Neoclássica da Administração,56,56
Administração Geral e Pública,02.04.01,3,Teoria Neoclássica,9,9
Administração Geral e Pública,02.04.02,3, Administração por Objetivos (APO),47,47
Administração Geral e Pública,02.05,2,Teoria da Burocracia,66,66
Administração Geral e Pública,02.06,2,Teoria Estruturalista (Abordagem Estruturalista da Administração),12,12
Administração Geral e Pública,02.07,2,Teoria Comportamental,25,25
Administração Geral e Pública,02.08,2,Teoria do Desenvolvimento Organizacional e Mudança Organizacional,150,150
Administração Geral e Pública,02.08.01,3, Teoria do Desenvolvimento Organizacional,32,32
Administração Geral e Pública,02.08.02,3,Mudança Organizacional,118,118
Administração Geral e Pública,02.09,2,Teoria dos Sistemas (Abordagem Sistêmica da Administração),120,120
Administração Geral e Pública,02.10,2,Teoria Contingencial (Abordagem Contingencial da Administração),46,46
Administração Geral e Pública,02.11,2,O Papel do Homem nas Diversas Teorias,5,5
Administração Geral e Pública,02.12,2,Tópico Mesclado de Teorias Administrativas,16,16
Administração Geral e Pública,03,1,Convergências e Divergências entre a Gestão Pública e a Privada,89,89
Administração Geral e Pública,03.01,2,Convergências entre a Gestão Pública e a Privada,27,27
Administração Geral e Pública,03.02,2,Divergências entre a Gestão Pública e a Privada,62,62
Administração Geral e Pública,04,1,"Governabilidade, Governança e Intermediação de Interesses",244,244
Administração Geral e Pública,04.01,2,Governabilidade,25,25
Administração Geral e Pública,04.02,2,Governança Corporativa,124,124
Administração Geral e Pública,04.03,2,Governança Pública,77,77
Administração Geral e Pública,04.04,2,Intermediação de Interesses,12,12
Administração Geral e Pública,04.05,2,Decreto nº 9.203/2017 - Política de Governança da Administração Pública Federal,2,2
Administração Geral e Pública,04.06,2,Decreto nº 10.160/2019 - Governo Aberto,4,4
Administração Geral e Pública,05,1,Accountability e Transparência  ,107,107
Administração Geral e Pública,06,1,Governo Eletrônico,55,55
Administração Geral e Pública,07,1,Modelos Teóricos de Gestão Pública,454,454
Administração Geral e Pública,07.01,2,Administração Patrimonialista,52,52
Administração Geral e Pública,07.02,2,Administração Burocrática,155,155
Administração Geral e Pública,07.03,2,Administração Gerencial (Nova Gestão Pública ou Modelo Pós-Burocrático),238,238
Administração Geral e Pública,07.04,2,Administração Societal,1,1
Administração Geral e Pública,07.05,2,Tópico Mesclado de Modelos Teóricos de Gestão Pública,8,8
Administração Geral e Pública,08,1,Evolução da APU no Brasil,468,468
Administração Geral e Pública,08.01,2,Patrimonialismo no Brasil,19,19
Administração Geral e Pública,08.02,2,A Reforma Burocrática no Brasil,194,194
Administração Geral e Pública,08.03,2,A Reforma Gerencial no Brasil,255,255
Administração Geral e Pública,09,1,Processo de Planejamento,1664,1664
Administração Geral e Pública,09.01,2,"Introdução ao Processo de Planejamento (Diretrizes, Princípios, Características, Etapas, Níveis)",204,204
Administração Geral e Pública,09.02,2,Planejamento Estratégico,317,317
Administração Geral e Pública,09.03,2, Intenção Estratégica ou Desenvolvimento Institucional,104,104
Administração Geral e Pública,09.04,2,Diagnóstico de Ambiente Organizacional - Matriz SWOT,226,226
Administração Geral e Pública,09.05,2,Matriz GUT,26,26
Administração Geral e Pública,09.06,2,Estratégia e Vantagem Competitiva,245,245
