Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Administração de Recursos Materiais,,0,Administração de Recursos Materiais,1911,1911
Administração de Recursos Materiais,1.0,2,Noções de Administração de Materiais,61,61
Administração de Recursos Materiais,2.0,2,Classificação de Materiais,161,161
Administração de Recursos Materiais,2.01,2,Noções de Classificação de Materiais,64,64
Administração de Recursos Materiais,2.02,2,Etapas da Classificação de Materiais,21,21
Administração de Recursos Materiais,2.03,2,Tipos de Classificação e Identificação de Materiais,76,76
Administração de Recursos Materiais,3.0,2,Gestão de Estoques,716,716
Administração de Recursos Materiais,3.01,2,Noções de Gestão de Estoques,96,96
Administração de Recursos Materiais,3.02,2,Previsão para Estoques,73,73
Administração de Recursos Materiais,3.03,2,Avaliação de Estoques e Custos,149,149
Administração de Recursos Materiais,3.04,2,Sistemas de Reposição e Níveis de Estoque,153,153
Administração de Recursos Materiais,3.05,2,Planejamento e Controle de Estoques,113,113
Administração de Recursos Materiais,3.06,2,Inventário (Materiais),99,99
Administração de Recursos Materiais,3.07,2,Lote Econômico de Compras (LEC),26,26
Administração de Recursos Materiais,3.08,2,Planejamento das Necessidades de Materiais - MRP,7,7
Administração de Recursos Materiais,4.0,2,Gestão de Almoxarifado ,266,266
Administração de Recursos Materiais,4.01,2,Noções de Recebimento e Armazenagem,36,36
Administração de Recursos Materiais,4.02,2,Recebimento,35,35
Administração de Recursos Materiais,4.03,2,Armazenagem (Almoxarifado),136,136
Administração de Recursos Materiais,4.04,2,Localização de Unidades e Layout (Almoxarifado),30,30
Administração de Recursos Materiais,4.05,2,Movimentação de Materiais,29,29
Administração de Recursos Materiais,5.0,2,Gestão de Compras,166,166
Administração de Recursos Materiais,5.01,2,Noções da Gestão de Compras,101,101
Administração de Recursos Materiais,5.02,2,"Ciclo, Etapas e Modalidades de Compras",65,65
Administração de Recursos Materiais,6.0,2,Logística,287,287
Administração de Recursos Materiais,6.01,2,Noções de Logística,60,60
Administração de Recursos Materiais,6.02,2,Sistemas Logísticos,28,28
Administração de Recursos Materiais,6.03,2,Modalidades de Transporte,31,31
Administração de Recursos Materiais,6.04,2,Gestão da cadeia de suprimentos,71,71
Administração de Recursos Materiais,6.05,2,Transportes e Distribuição de Materiais,97,97
Administração de Recursos Materiais,7.0,2,Administração Patrimonial,104,104
Administração de Recursos Materiais,8.0,2,Administração de Materiais no Setor Público,127,127
Administração de Recursos Materiais,8.01,2,Noções de Administração de Materiais no Setor Público,35,35
Administração de Recursos Materiais,8.02,2,Instrução Normativa nº 205/1998,9,9
Administração de Recursos Materiais,8.03,2,Decreto nº 9.373/2018 - Gestão de Bens Móveis no Âmbito da Administração Pública Federal,17,17
Administração de Recursos Materiais,8.04,2,Compras no Setor Público,66,66
Administração de Recursos Materiais,9.0,2,Outros Assuntos de Administração de Materiais,23,23
