Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Administrativo,,0,Direito Administrativo,21928,21928
Direito Administrativo,01,1,"Origem, Conceito e Fontes do Direito Administrativo",175,175
Direito Administrativo,02,1,Regime Jurídico Administrativo,669,669
Direito Administrativo,02.01,2,Regime Jurídico da Administração e Regime Jurídico Administrativo,54,54
Direito Administrativo,02.02,2,"Princípios Expressos, Explícitos ou Constitucionais",411,411
Direito Administrativo,02.03,2,"Princípios Implícitos, Reconhecidos e Infraconstitucionais",204,204
Direito Administrativo,03,1,Atos Administrativos,1538,1538
Direito Administrativo,03.01,2,Conceito de Atos Administrativos,102,102
Direito Administrativo,03.02,2,Mérito Administrativo,26,26
Direito Administrativo,03.03,2,"Elementos, Requisitos e Pressupostos (Atos Administrativos)",187,187
Direito Administrativo,03.04,2,Atributos ou Características dos Atos Administrativos,238,238
Direito Administrativo,03.05,2,"Atos Administrativos: Espécies, Classificação, Fases de Constituição",420,420
Direito Administrativo,03.06,2,"Desfazimento do Ato Administrativo (Anulação, Revogação, Cassação, Caducidade, Contraposição)",395,395
Direito Administrativo,03.07,2,Convalidação e Conversão dos Atos Administrativos,86,86
Direito Administrativo,03.08,2,Teoria dos Motivos Determinantes,50,50
Direito Administrativo,03.09,2,Tópicos Mesclados de Atos Administrativos,34,34
Direito Administrativo,04,1,Poderes e Deveres da Administração,988,988
Direito Administrativo,04.01,2,Poder Vinculado e Discricionário,56,56
Direito Administrativo,04.02,2,Poder Regulamentar,99,99
Direito Administrativo,04.03,2,Poder Hierárquico,122,122
Direito Administrativo,04.04,2,Poder Disciplinar,120,120
Direito Administrativo,04.05,2,Poder de Polícia,358,358
Direito Administrativo,04.06,2,Abuso de Poder: Excesso de Poder e Desvio de Finalidade (Poderes da Administração),131,131
Direito Administrativo,04.07,2,Deveres da Administração,17,17
Direito Administrativo,04.08,2,Tópicos Mesclados de Poderes da Administração,85,85
Direito Administrativo,05,1,Organização Administrativa,2013,2013
Direito Administrativo,05.01,2,Organização Administrativa da União,1944,1944
Direito Administrativo,05.01.01,3,Administração Direta (Órgãos Públicos),226,226
Direito Administrativo,05.01.02,3,Administração Indireta,808,808
Direito Administrativo,05.01.03,3,Conselhos Profissionais,12,12
Direito Administrativo,05.01.04,3,Desconcentração e Descentralização,276,276
Direito Administrativo,05.01.05,3,Agências Reguladoras e Executivas,255,255
Direito Administrativo,05.01.06,3,"Terceiro Setor (OSs, OSCIPs, Sistema S e Fundações de Apoio)",283,283
Direito Administrativo,05.01.07,3,Lei nº 13.303/2016 - Estatuto Jurídico da EP e SEM (arts. 1º a 27),42,42
Direito Administrativo,05.01.08,3,Decreto nº 8.945/2016 - Regulamenta a Lei nº 13.303/2016 ,1,1
Direito Administrativo,05.01.09,3,"Decreto nº 10.835/2021 - Cessões, Requisições e Alterações do Exercício para Composição da Força de Trabalho em que a Administração Pública Federal seja Parte",1,1
Direito Administrativo,05.01.10,3,Tópicos Mesclados de Organização Administrativa da União,40,40
Direito Administrativo,05.02,2,Organização Administrativa dos Estados e do DF,50,50
Direito Administrativo,05.02.01,3,Organização Administrativa do AC,2,2
Direito Administrativo,05.02.01.01,4,Lei Complementar Estadual nº 314/2015 - Estrutura Administrativa e Política e Operacional (AC),2,2
Direito Administrativo,05.02.02,3,Organização Administrativa do AP,2,2
Direito Administrativo,05.02.02.01,4,Lei Estadual nº 338/1997 - Organização do Poder Executivo do Estado do AP,2,2
Direito Administrativo,05.02.03,3,Organização Administrativa do CE,5,5
Direito Administrativo,05.02.03.01,4,"Lei Estadual nº 12.781/1997 - Institui o Programa Estadual de Incentivo às Organizações Sociais, Dispõe sobre a Qualificação destas Entidades e Dá Outras Providências (CE)",2,2
Direito Administrativo,05.02.03.02,4,"Lei Estadual nº 13.476/2004 - Autoriza a Administração Pública Estadual a Doar Bens Móveis e Equipamentos a Entidades Públicas e Privadas, nas Condições que Indica (CE)",1,1
Direito Administrativo,05.02.03.03,4,"Lei Estadual nº 16.710/2018 - Dispõe sobre o Modelo de Gestão do Poder Executivo, Altera a Estrutura da Administração Estadual (CE)",2,2
Direito Administrativo,05.02.04,3,Organização Administrativa do DF,1,1
Direito Administrativo,05.02.05,3,Organização Administrativa do ES,3,3
Direito Administrativo,05.02.06,3,Organização Administrativa do MT,1,1
Direito Administrativo,05.02.06.01,4,Lei Complementar Estadual nº 612/2019 - Organização Administrativa do Poder Executivo do MT,1,1
