Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Constitucional,,0,Direito Constitucional,14974,14974
Direito Constitucional,01,1,Teoria do Direito Constitucional,1458,1458
Direito Constitucional,01.01,2,Teoria Geral do Direito Constitucional,345,345
Direito Constitucional,01.01.01,3,"Direito Constitucional: Conceito e Fontes. Estado, Povo, Território, etc.",25,25
Direito Constitucional,01.01.02,3,"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos",176,176
Direito Constitucional,01.01.03,3,Constitucionalismo e Neoconstitucionalismo,48,48
Direito Constitucional,01.01.04,3,"Princípios Constitucionais Sensíveis, Estabelecidos e Extensíveis",20,20
Direito Constitucional,01.01.05,3,Histórico das Constituições no Brasil,76,76
Direito Constitucional,01.02,2,"Constituição: Conceito, Estrutura, Supremacia e Classificação",315,315
Direito Constitucional,01.03,2,Eficácia das Normas Constitucionais,264,264
Direito Constitucional,01.04,2,"Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)",242,242
Direito Constitucional,01.05,2,"Aplicação das Normas Constitucionais no Tempo (Recepção, Repristinação, Desconstitucionalização)",45,45
Direito Constitucional,01.06,2,Métodos e Princípios de Interpretação das Normas Constitucionais,217,217
Direito Constitucional,01.07,2,Simetria Constitucional,30,30
Direito Constitucional,02,1,Dos Princípios Fundamentais da Constituição (arts. 1º a 4º da CF/1988),268,268
Direito Constitucional,03,1,Dos Direitos e Garantias Fundamentais (arts. 5º a 17 da CF/1988),2940,2940
Direito Constitucional,03.01,2,Características (Direitos Fundamentais),145,145
Direito Constitucional,03.02,2,Gerações de Direitos Fundamentais,61,61
Direito Constitucional,03.03,2,Dos Direitos e Deveres Individuais e Coletivos (art. 5º da CF/1988) ,1309,1309
Direito Constitucional,03.04,2,"Remédios Constitucionais (art. 5º, LXVIII a LXXIII e LXXVII da CF/1988)",371,371
Direito Constitucional,03.04.01,3,Habeas Corpus,62,62
Direito Constitucional,03.04.02,3,Mandado de Segurança,117,117
Direito Constitucional,03.04.03,3,Mandado de Injunção,47,47
Direito Constitucional,03.04.04,3,Habeas Data,48,48
Direito Constitucional,03.04.05,3,Ação Popular,64,64
Direito Constitucional,03.04.06,3,Questões Mescladas de Remédios Constitucionais,33,33
Direito Constitucional,03.05,2,Dos Direitos Sociais (arts. 6º a 11 da CF/1988),312,312
