Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Língua Portuguesa e Redação Oficial,,0,Língua Portuguesa (Português),23932,23932
Língua Portuguesa e Redação Oficial,,0,Redação Oficial,1981,1981
Língua Portuguesa e Redação Oficial,01,1,Ortografia,445,445
Língua Portuguesa e Redação Oficial,01,1,Manual de Redação da Presidência da República (MRPR),1481,1481
Língua Portuguesa e Redação Oficial,01.01,2,Ortografia - Casos Gerais e Emprego das Letras,81,81
Língua Portuguesa e Redação Oficial,01.01,2,Definição e Atributos da Redação Oficial,261,261
Língua Portuguesa e Redação Oficial,01.02,2,"Fatos da Língua Portuguesa (Porque, Por Que, Porquê e Por Quê; Onde, Aonde e Donde; Há e A, etc)",47,47
Língua Portuguesa e Redação Oficial,01.02,2,Pronomes de Tratamento (Redação oficial),235,235
Língua Portuguesa e Redação Oficial,01.02.01,3,"Conceitos, Uso e Concordância (Pronomes de Tratamento)",122,122
Língua Portuguesa e Redação Oficial,01.02.02,3,Vocativos,113,113
Língua Portuguesa e Redação Oficial,01.03,2,Inicial Maiúscula,25,25
Língua Portuguesa e Redação Oficial,01.03,2,Fechos e Identificação do Signatário,153,153
Língua Portuguesa e Redação Oficial,01.04,2,Acentuação,225,225
Língua Portuguesa e Redação Oficial,01.04,2,Padrão Ofício,421,421
Língua Portuguesa e Redação Oficial,01.04.01,3,Definição de Padrão Ofício e Documentos,167,167
Língua Portuguesa e Redação Oficial,01.04.02,3,Partes do Documento (Padrão Ofício),231,231
Língua Portuguesa e Redação Oficial,01.04.03,3,"Formatação (Páginas, Texto, Numeração)",17,17
Língua Portuguesa e Redação Oficial,01.04.04,3,Questões Mescladas sobre Padrão Ofício,6,6
Língua Portuguesa e Redação Oficial,01.05,2,Uso do Hífen,20,20
Língua Portuguesa e Redação Oficial,01.05,2,Tipos de Documentos (Redação Oficial),153,153
Língua Portuguesa e Redação Oficial,01.05.01,3,Exposição de Motivos e Mensagem,79,79
Língua Portuguesa e Redação Oficial,01.05.02,3,Correio Eletrônico (Redação Oficial),68,68
Língua Portuguesa e Redação Oficial,01.05.03,3,Variações dos Documentos Oficiais,6,6
Língua Portuguesa e Redação Oficial,01.06,2,"Convenções de Escrita (Itálico, Siglas, etc)",15,15
Língua Portuguesa e Redação Oficial,01.06,2,Julgamento de Trechos quanto à Correção (Red. Oficial),220,220
Língua Portuguesa e Redação Oficial,01.07,2,Questões Mescladas de Ortografia,32,32
Língua Portuguesa e Redação Oficial,01.07,2,Tópicos Variados do MRPR,38,38
Língua Portuguesa e Redação Oficial,02,1,"Fonética (Fonemas, Dígrafos, Encontros Consonantais, Vocálicos). Separação Silábica",34,34
Língua Portuguesa e Redação Oficial,02,1,Atos Normativos (Redação Oficial),28,28
Língua Portuguesa e Redação Oficial,02.01,2,Lei Complementar nº 95/1998 - Atos Normativos,13,13
Língua Portuguesa e Redação Oficial,02.02,2,Atos Normativos no Manual de Redação da Presidência da República (MRPR),10,10
Língua Portuguesa e Redação Oficial,02.03,2,Legislação Estadual e Municipal sobre Atos Normativos,4,4
Língua Portuguesa e Redação Oficial,02.04,2,Decreto nº 9.191/2017 - Atos Normativos Enviados ao Presidente pelos Ministros,1,1
Língua Portuguesa e Redação Oficial,03,1,Morfologia,1629,1629
Língua Portuguesa e Redação Oficial,03,1,Ortografia e Gramática (redação Oficial),78,78
Língua Portuguesa e Redação Oficial,03.01,2,Formação e Estrutura das Palavras,76,76
Língua Portuguesa e Redação Oficial,03.02,2,Classes de Palavras,1553,1553
Língua Portuguesa e Redação Oficial,03.02.01,3,Artigo,19,19
Língua Portuguesa e Redação Oficial,03.02.02,3,Substantivo,79,79
Língua Portuguesa e Redação Oficial,03.02.03,3,Adjetivo,93,93
Língua Portuguesa e Redação Oficial,03.02.04,3,Verbo,526,526
Língua Portuguesa e Redação Oficial,03.02.04.01,4,Conjugação. Reconhecimento e Emprego dos Modos e Tempos Verbais,431,431
Língua Portuguesa e Redação Oficial,03.02.04.02,4,Correlação Verbal,23,23
Língua Portuguesa e Redação Oficial,03.02.04.03,4,Locução Verbal,39,39
Língua Portuguesa e Redação Oficial,03.02.04.04,4,Questões Variadas de Verbo,33,33
Língua Portuguesa e Redação Oficial,03.02.05,3,Pronomes,101,101
Língua Portuguesa e Redação Oficial,03.02.05.01,4,Pronomes Pessoais,25,25
Língua Portuguesa e Redação Oficial,03.02.05.02,4,Pronomes de Tratamento,9,9
Língua Portuguesa e Redação Oficial,03.02.05.03,4,Pronomes Possessivos,3,3
Língua Portuguesa e Redação Oficial,03.02.05.04,4,Pronomes Indefinidos,3,3
Língua Portuguesa e Redação Oficial,03.02.05.05,4,Pronomes Interrogativos,2,2
Língua Portuguesa e Redação Oficial,03.02.05.06,4,Pronomes Demonstrativos,14,14
Língua Portuguesa e Redação Oficial,03.02.05.07,4,Pronomes Relativos,36,36
Língua Portuguesa e Redação Oficial,03.02.05.08,4,Questões Mescladas sobre Pronomes,9,9
Língua Portuguesa e Redação Oficial,03.02.06,3,Advérbio,81,81
Língua Portuguesa e Redação Oficial,03.02.07,3,Numeral,4,4
Língua Portuguesa e Redação Oficial,03.02.08,3,Preposição,106,106
Língua Portuguesa e Redação Oficial,03.02.09,3,Conjunção,482,482
Língua Portuguesa e Redação Oficial,03.02.10,3,Interjeição,3,3
Língua Portuguesa e Redação Oficial,03.02.11,3,Questões Variadas de Classe de Palavras,59,59
Língua Portuguesa e Redação Oficial,04,1,Colocação Pronominal,177,177
Língua Portuguesa e Redação Oficial,04,1,Outros Expedientes de Redação Oficial,205,205
Língua Portuguesa e Redação Oficial,04.01,2,Atas (Redação Oficial),52,52
Língua Portuguesa e Redação Oficial,04.02,2,Atestado (Redação Oficial),6,6
Língua Portuguesa e Redação Oficial,04.03,2,Carta (Redação Oficial),3,3
Língua Portuguesa e Redação Oficial,04.04,2,Certidão (Redação Oficial),1,1
Língua Portuguesa e Redação Oficial,04.05,2,Circulares (Redação Oficial),2,2
Língua Portuguesa e Redação Oficial,04.06,2,Convite (Redação Oficial),1,1
Língua Portuguesa e Redação Oficial,04.07,2,Despacho (Redação Oficial),1,1
Língua Portuguesa e Redação Oficial,04.08,2,Edital (Redação Oficial),13,13
Língua Portuguesa e Redação Oficial,04.09,2,Parecer (Redação Oficial),18,18
Língua Portuguesa e Redação Oficial,04.10,2,Portaria (Redação Oficial),7,7
Língua Portuguesa e Redação Oficial,04.11,2,Relato (Redação Oficial),4,4
Língua Portuguesa e Redação Oficial,04.12,2,Relatório (Redação Oficial),45,45
Língua Portuguesa e Redação Oficial,04.13,2,Requerimento (Redação Oficial),28,28
Língua Portuguesa e Redação Oficial,04.14,2,Questões Variadas de Outros Expedientes de Redação Oficial,24,24
Língua Portuguesa e Redação Oficial,05,1,Semântica,1228,1228
Língua Portuguesa e Redação Oficial,05,1,Outros Manuais de Redação Oficial,116,116
Língua Portuguesa e Redação Oficial,05.01,2,Sinônimos e Antônimos,352,352
Língua Portuguesa e Redação Oficial,05.01,2,Manual de Redação Oficial do Tribunal de Contas do DF,20,20
Língua Portuguesa e Redação Oficial,05.02,2,Homônimos e Parônimos,17,17
