Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Ética no Serviço Público,,0,Ética no Serviço Público,1190,1190
Ética no Serviço Público,1.0,2,Ética (Aspectos Teóricos),392,392
Ética no Serviço Público,1.01,2,"Ética, Moral, Princípios e Valores",172,172
Ética no Serviço Público,1.02,2,"Ética, Democracia e Cidadania",74,74
Ética no Serviço Público,1.03,2,Ética no Setor Público e Função Pública,146,146
Ética no Serviço Público,2.0,2,Decreto nº 1.171/1994 - Código de Conduta do Servidor Público Civil do Poder Executivo Federal,681,681
Ética no Serviço Público,3.0,2,Código de Conduta da Alta Administração Federal,7,7
Ética no Serviço Público,4.0,2,Lei nº 8.027/1990 - Normas de Conduta dos Servidores Federais,11,11
Ética no Serviço Público,5.0,2,Lei nº 12.813/2013 - Conflito de Interesses,12,12
Ética no Serviço Público,6.0,2,Códigos de Ética do Judiciário,87,87
Ética no Serviço Público,6.01,2,Código de Ética do STF,16,16
Ética no Serviço Público,6.02,2,Códigos de Ética dos TREs,17,17
Ética no Serviço Público,6.03,2,Códigos de Ética dos TRTs,9,9
Ética no Serviço Público,6.04,2,Resolução CNJ nº 60/2008 - Código de Ética da Magistratura Nacional,4,4
Ética no Serviço Público,6.05,2,Código de Ética dos Servidores da Justiça Militar da União,41,41
